,price,sqft_living,sqft_lot,floors,waterfront,view,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,bath_0.75,bath_1.0,bath_1.25,bath_1.5,bath_1.75,bath_2.0,bath_2.25,bath_2.5,bath_2.75,bath_3.0,bath_3.25,bath_3.5,cond_2,cond_3,cond_4,cond_5,bed_2,bed_3,bed_4,bed_5,bed_6,bed_7,bed_8,bed_9,bed_10,bed_11
5745,295000.0,1930,13350,1.0,0.0,0.0,1930,0.0,1967,0.0,98023,2270,13350,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5750,270000.0,1480,7374,1.0,0.0,0.0,760,720.0,1954,0.0,98133,1480,8934,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5754,248000.0,950,9400,1.0,0.0,0.0,950,0.0,1954,0.0,98006,1260,9400,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5756,199000.0,1280,10521,1.5,0.0,0.0,1280,0.0,1960,0.0,98198,1540,9384,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5757,240000.0,870,8400,1.0,0.0,0.0,870,0.0,1960,0.0,98188,1070,12465,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5759,228000.0,1000,16376,1.0,0.0,0.0,1000,0.0,1959,0.0,98059,1420,16192,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5771,237000.0,2000,12208,1.0,0.0,0.0,1140,860.0,1979,0.0,98032,1060,8194,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5777,270000.0,840,867,2.0,0.0,0.0,840,0.0,2005,0.0,98115,840,1322,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5785,229900.0,1010,8848,1.0,0.0,0.0,1010,0.0,1968,0.0,98003,1380,10650,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5787,239000.0,1500,12560,1.0,0.0,0.0,1000,500.0,1977,0.0,98002,1700,9020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5790,302000.0,1110,7000,1.5,0.0,0.0,1110,0.0,1955,0.0,98133,1800,7000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5803,154950.0,1600,10183,1.0,0.0,0.0,1600,0.0,1966,0.0,98002,1410,10416,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5804,247200.0,1370,8719,1.0,0.0,0.0,1370,0.0,1982,0.0,98042,1370,7525,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5805,250000.0,1960,7414,1.0,0.0,0.0,1490,470.0,1984,0.0,98023,1580,8038,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5808,310000.0,1090,923,2.0,0.0,0.0,1090,0.0,2004,0.0,98027,1410,1326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5810,277500.0,1820,19602,1.0,0.0,0.0,1820,0.0,1964,0.0,98001,1520,8773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5812,289200.0,1760,7023,2.0,0.0,0.0,1760,0.0,1995,0.0,98019,1760,7082,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5819,309950.0,1460,1607,2.0,0.0,0.0,1460,0.0,2007,0.0,98106,1460,1826,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5833,259000.0,1210,17389,1.0,0.0,0.0,1210,0.0,1948,0.0,98059,2140,14419,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5835,260000.0,1630,8018,1.0,0.0,0.0,1630,0.0,2003,0.0,98001,1610,8397,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5836,273000.0,1384,1822,2.0,0.0,0.0,1384,0.0,1990,0.0,98028,1078,1315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5840,290000.0,1010,7200,1.5,0.0,0.0,1010,0.0,1947,0.0,98155,1360,7200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5841,226000.0,1490,6269,1.0,0.0,0.0,990,500.0,1944,0.0,98056,1490,7722,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5847,239975.0,1820,7242,1.0,0.0,0.0,1220,600.0,1959,0.0,98188,1350,8214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5851,300000.0,1780,10395,1.0,0.0,0.0,1780,0.0,1967,0.0,98058,2080,9360,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5852,216600.0,2200,7700,1.0,0.0,0.0,1240,960.0,1975,0.0,98031,1770,7360,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5858,287000.0,1490,9600,1.0,0.0,0.0,1170,320.0,1987,0.0,98019,1590,10104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5865,197000.0,1090,17630,1.0,0.0,0.0,1090,0.0,1962,0.0,98002,1300,12000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5873,289950.0,2090,7416,1.0,0.0,0.0,1050,1040.0,1970,0.0,98031,1710,7527,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5874,300000.0,1810,21138,1.0,0.0,0.0,1240,570.0,1977,0.0,98058,1850,12200,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5877,287000.0,930,6900,1.0,0.0,2.0,930,0.0,1952,0.0,98178,1910,7194,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5888,219000.0,1050,9000,1.5,0.0,0.0,1050,0.0,1984,0.0,98003,1550,9600,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5891,275000.0,840,4000,1.0,0.0,0.0,840,0.0,1942,0.0,98108,1100,4000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5894,314000.0,1620,9600,1.0,0.0,0.0,1620,0.0,1966,0.0,98059,1660,10200,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5895,287000.0,1340,8190,1.0,0.0,0.0,1340,0.0,1942,0.0,98146,1410,9721,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5900,313100.0,2660,9030,1.0,0.0,0.0,1450,1210.0,1977,0.0,98055,1870,9030,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5903,299950.0,890,5200,1.0,0.0,0.0,890,0.0,1941,0.0,98126,950,5200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5907,219950.0,1210,8000,1.0,0.0,0.0,1210,0.0,1954,0.0,98198,1430,8000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5908,215000.0,1280,6994,1.0,0.0,0.0,1280,0.0,1991,0.0,98038,1290,7514,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5911,253000.0,1910,7826,1.0,0.0,0.0,1140,770.0,1973,0.0,98003,1540,7826,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5915,292000.0,1780,9720,1.0,0.0,0.0,1280,500.0,1981,0.0,98059,1710,9790,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5916,289950.0,1670,7757,1.0,0.0,0.0,1670,0.0,1992,0.0,98030,2290,7859,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5917,257500.0,1360,9323,1.0,0.0,0.0,1360,0.0,1968,0.0,98023,1180,9611,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5920,269500.0,1840,7412,1.0,0.0,0.0,1240,600.0,1976,0.0,98031,1980,7350,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5925,275000.0,1820,10500,1.0,0.0,0.0,1080,740.0,1979,0.0,98031,1820,7500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5926,300000.0,1290,2482,2.0,0.0,0.0,1290,0.0,2008,0.0,98053,1290,2482,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5928,200000.0,1170,10051,1.0,0.0,0.0,1170,0.0,1957,0.0,98198,1440,9800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5934,271950.0,1220,8400,1.0,0.0,0.0,1220,0.0,1962,0.0,98006,2110,9119,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5946,280000.0,1960,30144,1.0,0.0,0.0,980,980.0,1957,0.0,98031,1960,10140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5952,175000.0,1280,7572,1.0,0.0,0.0,1280,0.0,1958,0.0,98058,1170,7667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5956,300000.0,1660,5128,2.0,0.0,0.0,1660,0.0,2001,0.0,98019,1680,4652,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5957,273000.0,1650,5994,2.0,0.0,0.0,1650,0.0,1989,0.0,98030,1930,6666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5961,248000.0,1260,6000,1.0,0.0,0.0,1260,0.0,1954,0.0,98198,1520,6600,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5967,241000.0,1150,10000,1.0,0.0,0.0,1000,150.0,1951,0.0,98178,1340,10000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5977,275000.0,2060,7350,1.0,0.0,0.0,1210,850.0,1978,0.0,98001,1940,7420,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5981,277000.0,1610,11920,1.0,0.0,0.0,1110,500.0,1968,0.0,98032,1690,11839,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5982,236000.0,1090,7647,1.0,0.0,0.0,1090,0.0,1994,0.0,98003,1660,9219,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5983,265953.0,1470,13068,1.0,0.0,0.0,1470,0.0,1975,0.0,98092,2090,16988,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5989,248000.0,1180,6947,1.0,0.0,0.0,1180,0.0,1968,0.0,98031,1760,8657,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5994,313000.0,1180,4900,1.0,0.0,0.0,1180,0.0,1954,0.0,98027,1650,7121,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5998,310650.0,1510,12408,1.0,0.0,0.0,1510,0.0,1969,0.0,98059,1480,17800,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6003,239950.0,1560,8280,2.0,0.0,0.0,1560,0.0,1979,0.0,98001,1920,8120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6006,250000.0,2130,8400,1.0,0.0,0.0,1350,780.0,1962,0.0,98031,1550,8596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6008,295000.0,2100,5107,2.0,0.0,0.0,1410,690.0,1999,0.0,98178,1410,5650,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6010,289000.0,1970,22486,1.0,0.0,0.0,1970,0.0,1968,0.0,98058,1850,20160,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6017,240000.0,1290,8366,1.0,0.0,0.0,1020,270.0,1957,0.0,98168,1770,8400,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6026,287000.0,1730,9230,1.0,0.0,0.0,1010,720.0,1962,0.0,98058,1730,9230,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6030,260000.0,1600,2244,2.0,0.0,0.0,1600,0.0,2005,0.0,98056,1600,1700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6037,270000.0,1350,6696,1.0,0.0,0.0,680,670.0,1944,0.0,98056,1350,6700,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6038,306500.0,1970,6291,2.0,0.0,0.0,1970,0.0,1998,0.0,98042,1980,8852,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6040,215000.0,1610,9652,1.0,0.0,0.0,1610,0.0,1969,0.0,98042,1220,9800,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6041,299900.0,810,6150,1.0,0.0,0.0,810,0.0,1950,0.0,98133,1080,7200,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6042,239950.0,1900,33888,1.5,0.0,0.0,1900,0.0,1942,0.0,98001,1430,19200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6048,250000.0,1088,1360,2.0,0.0,0.0,1088,0.0,1983,0.0,98034,1098,1469,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6049,264950.0,1400,10853,1.0,0.0,0.0,1400,0.0,1964,0.0,98055,1620,10849,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6055,263300.0,900,4500,1.0,0.0,0.0,900,0.0,1951,0.0,98118,1175,5320,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6056,215000.0,860,6635,1.0,0.0,0.0,860,0.0,1952,0.0,98133,1170,8000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6058,251100.0,1790,5257,2.0,0.0,0.0,1790,0.0,1996,0.0,98030,1680,5320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6072,303000.0,1000,1075,2.0,0.0,0.0,840,160.0,2007,0.0,98144,1000,1083,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6076,170000.0,870,6537,1.0,0.0,0.0,870,0.0,1948,0.0,98168,1100,8701,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6077,178000.0,840,6500,1.0,0.0,0.0,840,0.0,1969,0.0,98042,870,5200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6083,225500.0,1590,11276,1.0,0.0,0.0,1590,0.0,1972,0.0,98002,1750,10687,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6085,279000.0,1750,9623,1.0,0.0,0.0,1150,600.0,1962,0.0,98198,1820,9623,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6089,315000.0,1660,37642,1.0,0.0,0.0,1660,0.0,1991,0.0,98022,2070,54450,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6092,211000.0,1060,7412,1.0,0.0,0.0,1060,0.0,1987,0.0,98038,1080,7093,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6102,257950.0,1370,5858,1.0,0.0,0.0,1370,0.0,1987,0.0,98198,1400,7500,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6104,245000.0,1610,7223,2.0,0.0,0.0,1610,0.0,1994,0.0,98030,1610,7162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6111,284000.0,1580,7034,1.0,0.0,0.0,1180,400.0,1989,0.0,98038,1470,7358,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6119,165000.0,1380,7334,1.0,0.0,0.0,980,400.0,1981,0.0,98055,1910,7859,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6120,278500.0,1940,6206,2.0,0.0,0.0,1940,0.0,1990,0.0,98023,2060,7092,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6123,286285.0,1980,9714,1.0,0.0,0.0,1170,810.0,1977,0.0,98002,1610,9272,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6126,286000.0,2060,16000,2.0,0.0,0.0,2060,0.0,1993,0.0,98001,1530,8000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6129,259000.0,1490,7560,2.0,0.0,0.0,1490,0.0,1966,0.0,98198,1490,7689,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6141,188000.0,1660,7350,1.0,0.0,0.0,1660,0.0,1979,0.0,98023,1840,7673,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6146,260000.0,1680,8725,1.0,0.0,0.0,1240,440.0,1978,0.0,98023,2020,8352,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6164,245000.0,1700,8100,1.0,0.0,0.0,1200,500.0,1980,0.0,98038,1700,8100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6166,284000.0,2000,5390,2.0,0.0,0.0,2000,0.0,2003,0.0,98042,2330,5390,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6168,280000.0,2080,87991,1.0,0.0,0.0,1040,1040.0,1970,0.0,98014,2080,84300,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6174,274950.0,1570,8767,1.0,0.0,0.0,1180,390.0,1990,0.0,98038,1570,7434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6176,309212.0,1150,9600,1.0,0.0,0.0,1150,0.0,1979,0.0,98045,1520,9976,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6177,219950.0,1500,7615,1.0,0.0,0.0,1150,350.0,1984,0.0,98023,1540,8649,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6179,250800.0,1290,4000,1.0,0.0,0.0,1170,120.0,1943,0.0,98106,1140,4000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6182,305000.0,2030,8600,1.0,0.0,0.0,1230,800.0,1977,0.0,98042,1810,8600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6188,255000.0,1590,8670,1.0,0.0,0.0,1590,0.0,1994,0.0,98042,1590,9253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6191,199500.0,1160,5200,1.0,0.0,0.0,1160,0.0,1977,0.0,98042,1470,5200,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6195,199950.0,2270,13590,1.5,0.0,0.0,1300,970.0,1948,0.0,98022,1160,13545,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6196,254000.0,1660,8188,2.0,0.0,0.0,1660,0.0,1988,0.0,98042,1660,7000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6205,225000.0,1400,7384,1.0,0.0,0.0,1150,250.0,1979,0.0,98058,1820,7992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6206,295000.0,1400,7384,1.0,0.0,0.0,1150,250.0,1979,0.0,98058,1820,7992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6208,280000.0,1370,11050,1.0,0.0,0.0,1370,0.0,1981,0.0,98045,1520,10000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6219,260000.0,2320,16800,2.0,0.0,0.0,2320,0.0,1977,0.0,98092,2700,15680,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6225,200000.0,1430,7905,1.0,0.0,0.0,1430,0.0,1988,0.0,98092,1870,8400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6226,234000.0,1010,8906,1.0,0.0,0.0,1010,0.0,1968,0.0,98042,1150,10414,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6231,269000.0,1020,7920,1.0,0.0,0.0,1020,0.0,1947,1983.0,98106,1000,7168,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6234,252750.0,1230,7410,1.5,0.0,0.0,1230,0.0,1944,0.0,98166,1020,7648,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
